Zona	Condominio	Unidad
La Veleta	Cacao	A101
Aldea Zama	Paramar Viva	206
La Veleta	Cacao	A301
La Veleta	Cacao	B102
La Veleta	Cacao	B104
La Veleta	Cacao	B105
La Veleta	Cacao	E302
La Veleta	Cacao	E303
La Veleta	Cacao	D304
La Veleta	Cacao	A102
La Veleta	Cacao	B301
Aldea Zama	Ik Zama	9
Aldea Zama	Paramar Viva	113
Region 15	Solemn	307
Region 15		F3 14
Region 15	Solemn	302
Aldea Zama	Arba II	-
Aldea Zama	Arba I	101-102-103
Kukulkan	Adora	H8
Centro	Tuk Tulum	Agua 107
La Veleta	Gautama	
Aldea Zama	Arba I	201-202-203
Aldea Zama	Arba I	301-302-303
La Veleta	Palalma Casa	20
Region 15	Solemn	207
Kukulkan	Naia Tulum	314
La Veleta	Condos Ocho	A3
Av coba	Edena by TAO	2
Region 15	Solemn 	201
Aldea Zama	Agua de mar 	308
Centro	Maria Tulum	-
Kukulkan	NaiaTulum	C33
La Veleta	Rosa de Piedra	3
La Veleta	Panoramic	PH4A
Av coba	Edena by Tao	112
Tumben kaa	Distrito La Selva	5
La Veleta	Seremonia Selva	404
La Veleta	Central Park Lagunas	E101
Tumben kaa	Casa Blanca	-
Aldea Zama	Casa Jaax	
La Veleta	Palalma Tierra	8
Kukulkan	Adora	304
Region 15	Solemn 	401
Tumben kaa	Distrito La Selva	6
Region 15	Solemn 	105
Region 15	Solemn 	102
La Veleta	Casa Purusha	-
Aldea Zama	Estela Tulum	(sin muebles)
Aldea Zama	Casa Chacah	-
Region 15	AAK	L1
Aldea Zama	Estela Tulum	
Aldea Zama	Zama Tower	B109
Aldea Zama	Estela Tulum	D101 (sin muebles)
Aldea Zama	Estela Tulum	B302 (sin muebles)
La Veleta	Villa Cielo Tulum	
Kukulkan	Noil Villas	2D
Tumben kaa	Xunik	T4 #304
Aldea Zama	Coati	201
Zona hotelera 	Casa Amor	-
La Veleta	Boni Gardens	L3
La Veleta	Xamira	36
Holistika	Villa Guacamaya	
Region 15	Mistiq Villas	16
Tumben kaa	Villaggio Montorso	#2
Region 15	Mistiq gardens l 	28
Tumben kaa	Tulix	Casa #7 sin muebles
Aldea Zama	Quinto Sol	3
Kukulkan	Adora	207
Kukulkan	Adora	208
Mun Tulum	Mun Townhouse	12
Kukulkan	Adora	Villa 1
Kukulkan	Adora	Villa 5 (solo vacacional)
Region 15	Noil Residences	2
Holistika	Villa Tuunich	1
Selva Norte	Selva Norte	Beek 301
Aldea Zama	Amira Central	103
Centro	Maria Tulum	237
La Veleta	Cacao	D302
Aldea Zama	Paramar Viva	304
La Veleta	Villa Penelopa	2
La Veleta	Zona Nove	5
La Veleta	Palalma Tierra	27
Region 12	Aldea Savia F1	G23
Aldea Zama	Paramar Ve	5
Aldea Zama	Quinto Sol	12 (serv incl)
La Veleta	Tanik Hotel	Boho
La Veleta	Tanik Hotel	Dark Penth
La Veleta	Palalma Tierra	18
Aldea Zama	Vientos Tulum	1
Tumben kaa	Casa Tigrillo	-
La Veleta	Rama	315
Aldea Zama	Quinto Sol	6
La Veleta	Rama	201
Aldea Tulum	Aldea Tulum	13
Region 15	Casa Amal	-
La Veleta	Cuatro Cielos Tulum	Villa Sur
La Veleta	Cuatro Cielos Tulum	Villa Oeste
Aldea Zama	Amira central	104
Aldea Zama	Lik Zama	306
Aldea Zama	Quinto Sol	25
Centro	Tuk Tulum	 Fuego 312
La Veleta	Rama	204
La Veleta	Rama	101
Kukulkan	Adora	412
Kukulkan	Adora	H13
La Veleta	Cacao	C101
Centro	Kalmuk	306
La Veleta	Heavens Lagoon	3
La Veleta	Heavens Lagoon	12
Aldea Tulum	Mza 24 lt1 uc2 C. 302 J2	
La Veleta	Siddartha	109
Region 15	Casa Ananta	-
La Veleta	Central Park Lagunas 	C205
La Veleta	Villa Lool	-
La Veleta	Kantuun	T2 B1
Aldea Zama	Miraluna	112
La Veleta	Xeiba	201
Aldea Zama	Luna Residence 	301
Kukulkan	Chaac	315
La Veleta	Zanza Studios	2002
La Veleta	Xperience Residences	19
Riviera Tulum	Keystone	
La Veleta	Acinte by Endémico	ph6
Region 15	Mistiq Temple I	C105
La Veleta	Rama	103
Macario Gomez	Casa Olivia	-
Macario Gomez	Casa Sylvia	-
Kukulkan	Chaac	116
La Veleta	Cacao	C102
Region 8	Nook	3104
La Veleta	DK Tulum	6
Region 15	Koah	6
Region 15	Koah	11
Region 15	Koah	1
Riviera Tulum	Casa Pocahontas	-
La Veleta	Heavens Lagoon	9
La Veleta	Heavens Lagoon	8
Riviera Tulum	Anayansi	1 (incluye servicios)
Kukulkan	Adora	406
Aldea Zama	Zama Tower Premium	D005
Aldea Zama	Zama Tower  	D112
Aldea Zama	Amira central	202
Aldea Zama	La Privada	49
Aldea Tulum	Aldea Tulum	17
Region 15	Reverence	206
Centro	Tuk Tulum	Fuego 103
Centro	Tuk Tulum	Fuego 14
Centro	Tuk Tulum	Tierra 307
Centro	Tuk Tulum	Tierra 211
Centro	Tuk Tulum	Fuego 001
Aldea Zama	Villa G	
Centro	Bakal 	208
La Veleta	Cacao	204A
Region 12	Aldea Savia F2	G58
Kukulkan	Adora	401
La Veleta	Kantuun 	T1 B2
Centro	Maria Tulum 	2
Centro	Maria tulum 	5
Centro	Maria tulum 	6
Centro	Maria tulum 	7
La Veleta	Palalma Tierra	9
La Veleta	Santal 	116
La Veleta	Santal	214
La Veleta	The secret garden 	-
Aldea Zama	Luna Residence	106
La Veleta	Smart depas	A308
La Veleta	Smart Depas	C309
Centro	Bakal 	109
Centro	Bakal 	415 PH
Aldea Tulum	Aldea tulum 	203
Centro	Hacienda Tuuk Torre Yah	3
La Veleta	Heavens Lagoon	2
La Veleta	Blue Luxury	101 B
La Veleta	Casa armonia 	-
Playa Del Carmen	Playazul	
La Veleta	Zen 	pb1 
Kukulkan	Chaac	222
Centro	Tuk Tulum	Fuego 110
Region 12	Aldea Savia F1	314
Aldea Zama	Miraluna	341
La Veleta	Cordelia	B3
La Veleta	Kanta 	B2
La Veleta	Heaven 	PH
La Veleta	Atipika 	302
La Veleta	Palalma Casa	4
Playa Del Carmen	Beel 19	2
Aldea Zama	Gaia	308
Av coba	Edena by TAO	8
Chemuyil	Casa Chemuyil 	-
La Veleta	Central Park 	E
Av coba	Gardens by Coba	103
Kukulkan	Waves	F305
Centro	Tuk Tulum	Tierra 108
Av coba	Gardens by coba 	310
La Veleta	Smart Depas 	D208
Aldea Tulum	Aldea Tulum 	7
La Veleta	Palalma Tierra	5
Av coba	Edena by TAO	2
La Veleta	Lighthouse	-
Aldea Zama	Akua Tulum	18
Kukulkan	Waves	sp103
La Veleta	Cordelia	B4
Bahia Principe	Downtown	29
Region 15	Mistiq Gardens I	223
Aldea Zama	Ik Zama	14
Region 15	Areia 	F2 6
Aldea Zama	Paramar Viva	211
Aldea Tulum	Aldea Tulum	304
Kukulkan	Waves	F314
Selva Norte	Kayum	203 sin muebles
Centro	Tuk Tulum	Tierra 310
Region 15	Mistiq Temple II	C304
Villas Tulum	Casa Jaguares	-
Villas Tulum	Alma 	B2
Villas Tulum	Alma 	C6
Villas Tulum	Alma 	1
Aldea Zama	Akua Tulum	13
Region 12	Aldea Savia	C21
La Veleta	Sky Tulum	K102
La Veleta	Seremonia Selva	515
Kukulkan	Adora	111
Villas Tulum	Selva Maya	B1
Villas Tulum	Selva Maya	
Villas Tulum	Selva Maya	
Bahia Principe	Downtown	6
Aldea Zama	Katia	210
Av coba	Edena by Tao	43 sin muebles
Villas Tulum	Homes	301
La Veleta	Casa Chehchen	Town House
Aldea Zama	Paramar Viva	11
La Veleta	Seremonia Origen	310
La Veleta	Jungle Chic	306
Region 15	Majaro	
La Veleta	Tierra Blanca	202
Region 15	Muuk	307
La Veleta	Smart Depas	A109
La Veleta	Smart Depas	B210
Aldea Zama	Brava Towers 	407
Region 15	Mistiq Temple I	A302
Kukulkan	Mistiq Tulum	E104
Region 15	Mistiq Temple I	C205
Selva Norte	Almendro	38
Region 15	Mistiq Temple I	E302
Riviera Tulum	Keystone 	
Aldea Zama	Art House	8-201
La Veleta	Palalma Tierra	14
Tumben kaa	Vida Tulum	2
Tumben kaa	Vida Tulum	8
Aldea Zama	Aguasanta	1
Tumben kaa	Miel y Almendras	3
Tumben kaa	Xunik	B103
Centro	Menesse	306
Region 15	Mistiq Gardens I	302
La Veleta	Smart Depas	A105
La Veleta	Smart Depas	A106
La Veleta	Smart Depas	B104
La Veleta	Smart Depas	B206
La Veleta	Smart Depas	C203
La Veleta	Smart Depas	C205
La Veleta	Smart Depas	D104
Region 15	Mistiq Gardens I	104
Kukulkan	Mistiq Tulum	A201
Kukulkan	Mistiq Tulum	H201
Kukulkan	Mistiq Tulum	H204
Region 15	Mistiq Gardens I	105
Region 15	Mistiq Gardens I	117
Region 15	Mistiq Gardens I	211
Region 15	Mistiq Gardens I	212
Region 15	Mistiq Gardens I	214
Region 15	Mistiq Gardens I	221
Region 15	Mistiq Gardens I	305
Region 15	Mistiq Temple I	B208
Region 15	Mistiq Temple II	B202
Region 15	Mistiq Temple I	B207
Region 15	Mistiq Temple II	B201
La Veleta	Kaatal Oox	5
La Veleta	Casa Libelula	-
La Veleta	Panoramic	PH 3C
Kukulkan	Mistiq Tulum	B303
Kukulkan	Mistiq Tulum	F103
Region 15	Mistiq Temple I	C305
Region 15	Mistiq Temple II	B208
Region 15	Mistiq Temple II	B403
Region 15	Mistiq Temple II	C208
Region 15	Mistiq Temple II	C209
Region 15	Mistiq Temple II	C303
Region 15	Mistiq Villas	28
